a,b,c,d,e
173	Sire fet ele il a non Galedon,Sire fait elle il a nen galdon,Do su amigo auian muerto señor dixo ella el a nombre Galdon,Sire fait elle il a a non Galdon:,disse ella|egli à nome Badelon
174	et l eve par ou vos passastes a non Galede,et leaue ou uous passastes a nom galide,e el agua|que pasastes galide,Et laigue ou vous passastes a a non Galide|?,e l acqua per dove passaste Galede
	,Ainsi sen uont parlant ensemble boort,,,
	,et la damoiselle,,,
175	Ensi parolent tant qu il sont venu jusqu al chastel,tant que ilz sont uenus prez du chasteau,Asi fueron fablando fasta el castillo,Ensi sen vont parlant tant quil sont venu pres del chastel,aln parlando vanno|tanto che sono venuti insino qua al castello
176|177	si le voit Boors bien seant|et fort,si le uoient beau|et fort,Que hera muy fuerte|e muy bien asentado,si le voient moult bel|et moult fort,si 'l vide Boordo molto forte
	,,,et moult bien seant,
	,et moult bien seant,,,
178	Et quant il montent ! le tertre,Et quant ilz sont montez le tertre,e desque fueron entrados enel castillo,Et quant il furent monte le tertre,e molto ben sedente
179	si voient de laiens issir dames,si uirent dames,luego vinieron contraellos muchas danças,si voient issir dames,|si ne vidono uscire dame
180|181|182	et damoiseles a grant plenté|dont les unes karolent|et les autres dancent,et damoiselles a grant plante dent les unes dansoient|et les autres deuisoient,e corros de Dueñas|e de donçellas|e otros dançaban,& damoiseles a grant plente|dont lez vnes dansoient,e damigelle a gran quantità|donde l une ballavano
	,,e bailauan,,
183	et les autres joent de divers geus;,et les autres iouoient de diuers ieux,e otros jugauan|e façian juegos de muchas maneras,et lez autres karoloient|& baloient,e l altre giucavano di diversi giuochi
	,,,et gieuent de diuers ius,
184|185	si estoient acesmees|et vestues richement,si estoient toutes uestues moult richement,e todos andauan vestidos muy Ricamente,Si estoient toutes vestues trop richement,si erano tutte acconce|e vestite riccamente
186	et avec venoient chevaliers jusqu a X,et auec elles uenoient des cheualiers iusques a dix,entonçe vinieron contraellos,Et auec elles venoient cheualier iussPtis elques a|X,; Se con esso loro venieno cavalieri insino a cinque
187|188|189	qui molt faisoient grant joie;|et quant il voient Boort|si crient tuit encontre lui Bien viengniés sire,qui faisoient moult grant ioye|Et quant ilz uirent boort|si lui crierent tous|Bien uiengniez uous,mas de diez caualleros faziendo muy gran [|]|e deçian todos avna voz vien venga el mejor cauallero,qui menoient la plus grant ioie|et dient a bohort|Sire bien veignies vous soi tous lez hommes del monde,che molto feciono gran gioia quand'e' vidono Boordo|vengono tutti incontro a llui|e gli dicono|: Ben vegniate
190	qui nostre dame avez delivres de mort,qui nostre dame auez rescousse de mort,que anuestra señora libro de muerte,qui nostre dame aues rescousse de mort,sire|che nostra dama avete dilivera di morte
191	et rescosse des mains a ses enemis,et deliuree des mains de ses ennemis,e libro anos denuestros enemigos,et deliuree des mains a sez anemis,e riscossa delle mani di suoi animicib
192	Et lors font descendre lor dame,Et lors font descendre leur dame,entonçe los desçendieron a muy gran gozo,Et lors font descendre la damoisele,VAllora fanno discendere lor dama
193|194	et lui avec :|si ne vos porroit nus conter la joie,et lui auec|Si ne pourroit nul homme compter la grant ioye,e alegria façiendo con boores,et lui auekes|si ne porroit nus conter la grant ioie,e lui apresso|si non potrebbe mica l uom contare la trasgran gioia
195|196	qui li fu fete|,qui leur fut faicte,asi que el se marauillaua ende mucho,qui li fu faite EN tele ioie,che gli fu fatta|In tal gioia
197|198	et a tel feste enmainent Boort jusqu al palés del chastel|si le font desarmer ou il volsist ou non,A telle ioye menerent boort au pallais,e las Mesas fueron puestas,& en tele feste com vous oliles enmenerent bohort en vne moult bele sale,e in tale festa ne menarono Boordo insin qua il mastro palagio del castello|si l fanno disarmare o volesse O non
199|200	et il le fist a envis|kar il n estoit encore mie tens de herbergier,Et quant ilz eurent mengie la damoiselle lui demanda comment il auoit nom,e asentaronse a comer|ca mucho lo auian menester,et les tables furent mises,ed elli il fece ad invidia|ché nonn era mica ancor tempo d albergare
201|202|203|204	Ensi remist Boors laiens|si li firent grant joie li un|et li autre|Et quant il orent mengié,Et il respendist quil auoit nom boort le essillie|et si estoit cousin germain de lancelot du lac,e desque ovieron comido la donçella le pregunto|e dixo le señor|si vos pluguiere querria saber vuestro nombre,si alerent mangier|Et quant il orent mangie,|si gli feciono molto gran gioia|e l uno|e l altro|eE quand egli ebono mangiato a gran festa
205	a damoisele demande a Boort comment il avoit non ét ¡l dist qu il avoit non Boors li Essilliés,,porque sepa dezir quien me fiço tanto bien donçella dixo boores yo he nombre boores el deseredado,La damoisele demanda bohort comment il auoit non|Et il li dist quil auoit non bohors li escillies,la damigella domandò Boordo com'egli avea nome
206|207|208	Et vos fet il|damoisele quels est li vostre nons|? — Sire fet ele,Et uous dame|quel est uostre nom|Sire fait elle iay nom benigne de glacedon,e vos donzella dixo el|como auedes nombre señor dixo la donçella yo he nombre velniña de glaçendo,Et vous dame fait il comment est vostres nons|Sire fait elle iou ai a non benigne,ed e' le risponde|diss elli alla damigella|com è vostro nome|? — Sire|diss ella
	,,,,ch egli à nome Boordo il Diseritato
	,,,,
209|210	je ai non Blevine de Glocedun issi a non cist chastials ou nos somes|A ces paroles qu il disoient es vos I escuier,et ce chasteau cy ou nous sommes a aussi nom glacedon|ces parolles quilz disoient uecy ung escuyer,que asi a nombre el castillo enque estamos Ellos,? de Glochedon|Et ensi a a non chis chastiaus|A ches paroles quil disoient es vous vn escuier,i' ò nome Blivina di Glocedin|e nsì à nome questo castello ove noi siamo|A queste parole|ch elli dicieno
	,,,,ed e' vidono venire uno scudieri
211	qui laiens entre,qui entra leans,ansi fablando llego vn escudero porla puerta,qui laiens entra,che là entro venia
212|213|214	si s agenoille devant la damoisele|Dame fet il la damoisele de Honguefort vostre cosine vos salue|et vos mande qu ele vient herbergier o vos,si se agenoille de uant la damoiselle dame fait il madame de honguesfort uous sallue|et uous mande|que elle se ueult ennuyt logier auec uous,e finco los ynojos ante la donçella|e dixole señora la donçella de hongeforte vos ymbia a saludar,si sagenoille deuant la damoisele|& l dist|Dame : la dame de hongrefort vous salue|& vous mande|que elle veult anuit herbergier o vous,si s aginocchia davanti la damigella|mia dama la damigella di Unguelforte|vostra cugina|vo saluta|e vo manda|ch ella viene ad albergare con esso voi
	,,,,Dama
	,,,,diss elli
215	Et quant cele l entent,Et quant celle lost,,Et quant cele lentent,E quando quella lo ntende
216	si saut sus,,e ymbiavos deçir,si saut sus,si salta suso
	,,,si ioieuse,
217	si liee,,que esta noche ven conbusco albergar,& si lie,si lieta
218|219|220	et si joiose|que nule plus|et demande al vaslet ou ele est,si demande a lescuyer ou elle est dame fait il a demye lieue de cy,e quando la donçella esto oyo fue muy alegre|e pregunto al escudero,que nulle plus|Si demande a lescuier ou elle est,e si gioliolsa|che nulla più|e domanda al valletto ov'ella est
221|222|223|224	Dame|fet il a mains de demie lieue pres de ci|Et ele fet maintenant sa sele metre|et dist qu ele ira encontre li;,et elle mente sur son cheual auec quatre cheualiers,do era señora dixo el escudero yo la dexe a media legua de aqui|e la donçella mando,Dame ce dist cil a demie lieue pres de chi|Iors fait maintenant sa sele mettre|& dist|que elle yra encontre li,Dama|diss elli|ella est a meza lega presso di qui|Ed ella fa immantanente sua sella mettere|e disse|ch ella andrà incontro a llei
225|226|227|228|229|230|231|232	si monte|et maine o li|VI|chevaliers|et Illl|en laisse|por fere compaignie a Boort ;|si se part atant de laiens,et quatre escuyers pour aller a lencontre de la dame|et si laisse quatre cheualiers auec boort pour luy faire compagnie mes boort,luego ensillar|e fuese con seis caualleros ala rreçebir|e dexo a boores con quatro caualleros porle fazer conpaña,Si Lmonte maintenant|& vi|cheualier aueques li|&|iiij|escuiers|Et si laisse auec bohort|iiij|cheualiers|por lui faire compaignie|& puis sen ist de laiens,si monta|e mena con lei v|cavalieri|e quatro cavalieri d agio lascia in compagnia di Boordo|si si parte atanto di là entro
233	Mes Boors,,,Et bohors,Ma Boordo
234|235	qui les noveles a of̈es de cele de Honguefort|si ne set,qui les nouuelles a entendues de la dane de honguesfort ne scait,e quando boores sopo quela donçella de ongeforte venia no sabia,qui lez noueles ot entendues de la dame de hongrefort ne set,che lle novelle àe avute di quella d Unguelforte|non sa
236	que fere,que faire,que façer,que faire,che fare
237|238|239|240	kar se il remaint laiens ne puet estre|que l en nel conoisse|et ce ne voldroit il|por rien:,si pense longuement|car il ne ueult pas estre congneu,ca no queria aquelo conoçiese|si pudiese ser,quar bien set|que elle le connistra|Et chou ne voldroit il pas,ché se rimane là entro e' non può essere|ch ella non lo cognosca|: ciò non vorebbe elli per nulla cosa
241|242	si pense longuement a ceste chose|Quant il ot une piece pensé,et quant il a longuement pen se,e penso,si pense a cheste chose moult longement|Et quant il ot pense,si pensa lungamente a questa cosa|eQuand egli à gran peza pensato
243	si se drece en estant,si se lieuue en son estant,asi enesto mucho,si se lieue en son estant,si si diriza in istanti
244|245|246	et demande ses armes tost|et isnel|Sire font cil,et demande ses armes|Sire sont ceulx,e a cabo de Pieça demando sus armas señor dixeron los caualleros,si demande sez armes|Sire font cil,e domanda sue armi tosto|e snello|VaSire|dissono coloro
247	qui avec lui estoient qu en volés vos fere,,que conel estauan|que para,qui aueques lui estoient pourcoi vous voles vous armer,che con esso lui erano|che volete voi fare
248|249|250	? — Je me vueil|fet il un poi aler esbatre jusqu a cel boschel|si revendrai orendroit,qui auec luy estoient pour quoy les demandes uous ie me uueil fait il armer pour moy aller esbatre iusques en ce bochel mes ie reuendray tantost,que las queria yo me Quiero armar dixo boores Porme yr a solazar a aquel montezillo|e luego me tornare,Iou me voel fait il aler esbatre iusken cel bosket|si reuendrai maintenant,? — l' mi voglio|diss elli|andare a sbattere un poco in quello boschetto|si ritornerò oraindiritto
251|252|253	Cil n osent son commandement refuser|si aportent ses armes|et il les prent,et ceulx nosent reffuser son commandement lors luy apportent ses armes,e ellos no osaron su voluntad contradeçir|e truxeronselas,Et cil nosent son commandement refuser|Si li aportent sez armes,E que' non osano suo comandamento rifiutare|sì gli portano sue armi ed e' le prende
254	Et quant il est armés,et quant il fust arme,e el se armo|e desque fue armado salio porvn postigo,Et il sen arme,;|e quand egli è armato
255	si monte en son cheval a,,que estaua contrael monteçillo,puis monte sor son cheua,e' monta in suo cavallo
256	si se part de laiens par une posterne par devers le boschel ne ne velt,si sen part de le ans par la posterne uers ung petit bosc|et ne ueult,e no quiso,& se part de laiens|et ne veult,si si parte di là entro per la postierna diverso il boschello|né non vuole
257	que nus li face compaignie,que nul luy face compagnie,que fuese conel ninguno,que nus li face compaignie,che nullo gli faccia compagnia
258|259|260	Et quant il est l|poi eslongiés del chastel|si torne a destre vers une forest qu il voit haute,Et quant il est ung pou eslongnie il tourne uers une forest grande,e desque fue vn poco alongado Metiose porvna floresta|que vido muy espesa|quanto el cauallo lo pudo lleuar,Et quant il est vn petit eslongies|si sen torne vers vne haute forest|quil vit haute,quand egli è un poco islungato del castello|si torna a destra partita per diverso una foresta|ch elli vide alta
261	et espesse,et espesse,e el,& espesse,e spessa
262	et s en vet al ferir des esperons;,,,& sen vait au ferir des esperons,si vi|si mette al fedire delli sproni
263|264	si se fiert en la forest|et eirre tant qu il li anuite ;,si fiert des esperons|et sen entra dedens,ansi yendo oyo vna canpana tañer,et se fiert en la forest tant quil,e si fiede nello spesso della foresta|e va tanto|ch elli anottò
265|266|267	et lors escote|si ot une cloche soner|et il sot bien tantost,et cheuaucha|tant que la nuyt uint|Il ouyt une cloche sonner|si pense tantost,e luego cuido quela tañian en alguna hermita|e el fue alla,si anuite|Lors oy vne cloche sonner|et sot bien tantost,AIlora ascolta|sì ode una campana sonare ed e'sa ben tantosto
268|269	que c estoit hermitages:|si s en torne cele part,que cest ung hermitage|il sen alla celle part,e desque llego ala hermita llamo fastaque el hermitaño le vino a abrir,que ce estoit vns hermitages|si torne cele part,che ciò è romitaggio|:|si ritorna in quelle parti
