a	b	c	d	e
204|205|206|207|208|209|210	Et lors encontra I|chevalier acorant sor|I|cheval|et fu armés de totes armes mes ses escus estoit detrenchiés amont|et aval|et ses haubers ros	Et lors encontra|j||j|destrier arme de toutes armes|& sez escus estoit amont	que venia sobrevn caballo corriendo armado de todas armas|mas el escudo traya de ençima ayuso todo despedaçado|e la loriga desmallada	eMa or|si tace atanto el conto di lor tutti	et lendemain se leua matin|et erra parmy une foiest tant quil uint au quĩt iour en ung sẽtier estroit|et lors encõ tra ung cheualier sur ung grãt destrier arme de toutes armes son escu estoit amont ct aual tout deperchie
211|212	et desmailliés|et ses hialmes depeciés	& aual tous depechies	e el yelmo muy enpeorado	e parla d Aglovalle primieramente	
213|214	et escartelés ;|et li sans li degote de la teste	Et li sans li degoute de sa teste	e quebrado|e la sangre le salia dela cabeça		et le sang luy degouctoit de la teste
215	et des bras		e delos braços	giuso	
216	si que li haubers en estoit tos vermels e		asi quela loriga hera vermexa dela sangre		
217	Et quant il vit Agloval	Et quant il fu pres dagloual	e quando agribal		Et il uit agloual
218	si vint vers lui al plus tost qu'il pout	si li dist	ansi lo vido venir contrasi fue ael lo		si uint uers lup|⁊ luy dist
219	et a li dist Ha gentils chevaliers aies merci de moi ne me laisse ocirre devant toi ! — Sire fet Agloval je ne voi encore nul	ha : gentieus cheualiers aies merci de moi|et ne me laissies ocirre deuant uous	mas ayna		haa gentil cheualier pour dieu aiẽs mer cy de moy|et ne me lessies occhire deuãt uous Gire fait agloual ie ne uois hõme
		Sire fait agloual iou ni voi encore nullui			
220	qui mal vos weille fere	qui mal vous face|ne	que pudo		qui mai uous uueille faire
		qui le vous uoelle faire			
221	— Bials sire fet cil vos le verrois par tens lar aprés moi vient ne sai quels chevaliers	Biau sire fait il vous le verrois par tamps Car apres moi uient vns cheualiers|?	e el cauallero le dixo ay jentil cauallero no me dexedes matar ante ty señor dixo agribal yo no veo quien vos quiera malfaçer buen señor dixo el cauallero vos lo veredes muy ayna		Siau sire fait cesluy uoꝰ le uerres ꝑ temps|car apres moy uient ung cheualier
222|223	qui me velt ocirre|et por noient	qui me ueult ocirre|por noient	que tras mi viene vn cauallero	ché più nol vuole richiedere a cavallo	qui me ueult occhire pour neant
224	et si m'a il ja navré com vos poés veoir	Et si ma il ia|si naure comme vous poes ueoir	que me quiere matar sin|porque E ame		
225	— Or ne vos esmaiés ret Agloval mes laissiés le venir tot seurement	Or ne vous esmaies mie sire fet agloual|mais laissiez le uenir tot seurement	ansi llagado|como vedes agora non vos desmayedes dixo agribal		
226	si l atendés		mas dexaldo venir		et si me a il ia
227|228|229	et je vos creant loialment|que vos n i avrois ja mal sans moi|; A ces paroles se regardent	j|cheualier arme de toutes armes	ca yo vos prometo lealmente|que vos non aueredes y mal sin my		si naure cõment uous poues uoir orne uous esmayes fait agloual mes lessies le moy uenir tout seuremẽt|A ces parolles|si regardẽt eux
230	et voient I	Et Et	e ellos	per ciò	ii
231|232|233|234	chevalier venir|si grant aleure com li chevals le puet aporter b|Sire fet li chevaliers a Agloval veés le ci|Et il point maintenant vers lui quanqu il puet del cheval traire ;	quant il vint pres|si dist a agloual li cheualiers|qui naures estoit|Sire Vees uenir le cheualier|qui ocirre me veult|Et agloual point maintenant vers lui	ansi fablando cataron|e vieron venir vn gran cauallero contraellos entonçes dixo el cauallero agribal señor vedeslo aqui e|(^el|?		et uoiẽt uenir ung cheualier lois dist le cheualier a agloual uees le cp|et agloual poĩt maintenãt a luy
235|236	et cil li torne la teste de son cheval|quant il voit	Et cil li torne la teste de son cheual	?|) agribal fue contrael|quanto el cauallo lo pudo llebar		Et cellup lup tourne la teste de soncheual
237|238	que cil li vient a l encontre e;|si s entreñerent	si sentrefierent	e el cauallero endereço eso mismo el cauallo contrael		si sentrefierent
239|240	si durement|que li escu n ont duree qu il ne soient percié as fers des lances a	si durement|que li escu ni ont duree	e firieronse muy fieramente ental manera quelos escudos no lo pudieron sufrir		si duremẽt q̃ les escus ne ont duree
241	Li chevaliers brise sa lance a l encontrer	Li cheualiers brise sa lance	e el cauallero quebro su lança		le cheualier brise sa lãce
242	et Agloval le fiert	& agloual le fiert	e agrabal lo firio	ch elli era a piè	⁊ agl oual le fiert
243	si durement qu il porte lui	si durement|que li escus ni ot duree	ansi duramente|que dio conel		si duremẽt quil fait uoller lup
		Ains le porte lui			
244	et le cheval a terre	et le cheual a terre tout en	e conel cauallo en tierra		et lecheual ꝑ terre
		j			
		mont			
245	Mes cil	Mais cil	mas el		mes celup
246	qui molt estoit pros se relieve erraument	qui moult ert preus|se releua erranment	que hera muy buen ome se leuanto muy toste		qui estoĩt preux se releua erraument
247	et trait l espee	& trait lespee	e saco la espada		et traict son espee
248|249|250	et gete l escu sor sa teste|si fet grant samblant de soi deffendre|Et Agloval li cort sus tot ensi com il estoit armés	& giete lescu sor sa teste|& fait bien samblant de lui desfendre	e puso el escudo sobre la cabeça|e fizo senblante de se defender|e agribal fue ael|ansi de cauallo	:	et fait lemblãt de soy deffedre|et a¬ gloual luy court sus tout a cheual
			como estaua		
			e firiolo delos pechos del cauallo		
			ansi que dio conel en tierra		
251	si a le fiert	& agloual le fiert	e desçendio luego		si le fiert du piz du cheual
252|253|254|255	si del pis del cheval qu il le refet voler a terre|Et lors descent jus lkar plus ne le velt requerre a cheval|por ce qu il estoit a pié;|si atache son cheval a un arbre	si del pis del cheual quil le fait voler a terre Lors descent a terre|quar plus ne le voloit touchier a cheual	ca no lo queria|mas acometer acauallo|e ato el cauallo a vn arbol	si atacca suo cavallo a uno albero	si qͥl le reffist uoller a terre|et tors desch ẽ dist ius du cheual
256	puis trait l espee	et trait lespee	e saco la espada	poscia prende sua spada	et traist lespee
257|258|259	et cort sus al chevalier; mes il le trueve|si atorné|que cil n a pooir de soi relever de la ou il gist	& li cort sus|mais il le trueue tel atorne quil not nul pooir de se releuer de la ou il gist	e fue contrael cauallero|e fallolo tal|que se non podia rreboluer	e corre suso al cavaliere|ma elli el truova|si atornato|che non à podere di sé rilevare di là ove giace	et si luy court sus|mes il le treuue siestonne Seconde quil ne a pouoĩr de soy releuer
260	et il li esrache le hialme de la teste	Et il li esrace le heaume de la teste	e tirole el yelmo dela cabeça	Ed|e li arappa l elmo della testa	il lup crrache le heauliue de la teste
261	et li abat la ventaille	& li a abatu la uentaille	e el auantal dela loriga	e gli batte la ventaglia	et luy abbat la uẽtail|le
262|263	et dist qu il li coupera le chief s il ne se tient|por outré	& dist quil locirra sil ne se tient pour oltre|Tit|quant cil uoit lespee nue sor sa teste|si ot moult grant paor de mort	e amenazole quele cortaria la cabeça sino se tubiese|por vençido	e dice|che gli colperà el capo se non|si tiene per oltrato	et dist qͥl luy couppera la tese se il nese tiẽt pour oultre
264|265	Et cil oevre les iex|qui assés estoit a mal aise e;	si T		Ed egli apre gli occhi|che molto era misatato	et celluy oeuure les yeux
266|267|268|269	et quant il voit l espee|dont cil li velt le chief couper|si a poor de mort|et crie merci	dist|ha : gentieuls cheualiers	e el cauallero ovo muy gran pauor de muerte	e quand e' vede la spad onde quelli il minaccia di colpare il capo|si à paura di morte|si grida mercé|Al	et quãt il uoit lespee|si a trop grant paour de mourir|si crie merci
270	Ha frans chevaliers fet il ne m ociés mie lkar ie me tieng	ne mochies mie|quar iou me tieng	e dixo ay jentil cauallero no me matedes|ca yo me tengo	franco cavaliere|diss elli	
				non m uceidete mica	
271	por outré;	por outre	por vençido	ch io mi tengo per oltrato|;	et dist
272|273	et veez ici m'espee|que je vos rent	& li tent sespee	e diole luego su espada	e vedete qui mia spada|ch io vo rendos	Haa gẽtil cheualier ne me occhies mie
274	Et Agloval la reçoit	et agloual le rechoit	e agraual la rresçibio luego		
275|276	et puis li demande|por quoi il voloit le chevalier ocirre	si li demande porcoi il uoloit le cheualier ochirre	e preguntole|porque queria matar aquel cauallero	; poscia el domanda perch elli voleva el cavaliere uccidere	car ie me tiens pour oultre etluy rent son espee: agtoual la recheust puys lui de mãde pour quoy il uoul loit occhire ce cheua¬ lier
277	Par foi fet il	Et cil dist quil le uoloit ocirre por	por buena fee yolo querria matar	Per ciò	et il dist
278|279|280|281	por ce qu il ocist avant ier un de mes escuiers ne soi|por quoi:|et por ce l oceisse je volentiers se j en fuisse venus al desus|Et al desus en venisse je par tens se je ne vos euisse encontré a	j|sien escuier quil li auoit auant hier ocis	porque antier mato vn mi escudero|e no se|porque e poresto lo mataria muy de grado|si vos no vinierades	ch e' m uccise l altrieri uno mio scudiere|si non so perché|; aperciò l avessi io volentier morto|s i' ne fossi venuto al di sopra|e al di sopra ne fossi io per tempo venuto|s i' non voi avessi incontrato	que cestoit pour ung sien escuyer quil auoit auãt hper occhiz
				—Per fé	
282|283	— Par foi fet Agloval vos feissiés trop grant desmesure|quant por I	par foy fait agloual cestoit grant desmesure|quant por|j	por buena fee dixo agrabal esto hera muy gran desmesura	disse Aglovalle|voi areste fatto troppo grande crudeltà	par ma fop fait a Iloual cesioit grãt deslopaute quat pour ung escuyer uous uoullies occhire ung cheualier
284|285|286	escuier occissiés I|chevalier|et por cest outrage weil je b	escuier uolies ocirre|j|cheualier|Et por ce Voeil iou	quando por vn escudero queriades matar vn cauallero	ché per uno scudiere volavate uccidere uno cavaliere|E per questo oltraggio voglio	et pour ceste chose ie uoꝰ quitte mõ amẽde mes ie uueil
287|288|289|290|291	que vos vos en metois en sa merci|et je vos cuit orendroit moi|Et cil dist qu il le fera|puis qu autrement ne puet estre;|si vient devant le chevalier	que vous vous metes en sa prison|Et cil respont quil le fera volentiers|puis caltrement ne puet estre|ors vint maintenant au cheualier	e portanto vos mando|que vos metades en merçed del cauallero de grado dixo el Puesque al no puede ser|e luego se fue al cauallero	che vo' vo mettiate in sua mercé ed io in dritto me vo cheto|ME que dice|ch elli el farà|poscia|ch altrimenti non può essere|si viene davanti el cavaliere	que uoꝰ uous mettes en la mercy du cheualier|et celluy dist|que si fera il uoulen¬ lentiers|sp uint maintenãt au cheualier
292|293	et s agenoille|et li crie merci del meffet;	et sagenoille deuant lui|& li crie merci del mesfait quil li a fait	e finco los ynojos|e pidiole merçed del mal quele auia fecho	e gli grida mercé del misfatto in ginocchione	et se agenoille deuant lny|et luicrie mercy du mef fait
294|295	et cil li pardone tot|Et lors remonte li chevaliers conquis	Et cil li pardonne moult uolentiers pardon|puis vient li cheualiers conquis	e el cauallero lo perdono entonçes se leuanto el cauallero	e que gli perdona tutto|Allor monta el cavaliere conquiso	et celluy luy pardonne uoullentiers|et lors montele cheualier cõquis sur son cheual
296	et dist a Agloval Sire fet il il est huimés tens	& dist a agloual|Sire il est hui	e dixo a agraual señor de oy	e disse ad Aglovalle|	et dist a agloual|Gire il est meshuy biẽ tẽps deherdegier
				diss egli	
297|298|299	et hore de herbergier a lkar la nuis i aproche molt durement|et j ai pres de ci un recet molt aaisié:|por ce vos pri	mais tamps de herbergier|et vous serois plus a aise a mon ostel|que en nul lieu ou vous puissies hui	mas tienpo es de aluergar|e vos aueis	egli è ogimai ben tempo d albergare|ché lla notte apressima molto duramente|e io ò presso di qui uno recetto molto adagiato|; perciò vo priego io	car la nuit appronche:|et iay cy pz une mienne maison pour ce uous prie ie
300|301	que vos veigniés anuit mes herbergier o moi|et vos i seriés plus a aise	mais herbergier|quar la nuis aproche durement|Et iou ai chi pres	mas trauajado|que vos seria menester|e la noche ya es çerca	che vo' vegniate con esso meco ma oggi ad albergare|e vo' vi sarete più adagiato	que uous y uiengnies huymes herbergier: aglou al lup octroye
302	que vos ne seriés en lieu ou vos puissiés huimés venir	j|mien rechet	e no es lexos de aqui vna mi casa|do sereys muy bien aluergado	che voi non sarete in luogo ove voi possiate oggimai venires	
303|304	Et Agloval l'otroie|puis demande al chevalier qu il avoit rescos	Et por chou vous pri iou|Et puis demande au cheualier quil auoit conquis	e agraual lo otorgo|e demando al cauallero|que auia acorrido	E Aglovalle il consente|; poscia domanda Aglovalle al cavaliere	puys demande aglonal au cheualier qͥl auoit rescoux
		que vous demores hui			
		mais auec moi			
		Et agloual li otroie			
305|306	dont il est;|et il dist qu il est del chastel de Roguedon	qui il est|Et il dist quil est del castel de roguedon	que dedonde hera yo dixo el so del castillo de Reguido	ch elli avea riscosso dond egli è|ed e' gli dice|ch egli è del castello di Gledon	donc il est|et il dit quil est du chustel de roguedon le
307	qui est pres d iluec a une lieue englesche	qui est dilluec a vne lieue englesce	que sera de aqui vna legua	ch è presso di qui a una lega inghilesca	quel est pres a une lieue englesche
				;	
308|309	Et se vos i voliés venir je vos i feroie honorer sor tos homes|et je le doi bien fere lear vos m avés de mort rescos	& se vous y uolies uenir|iou vous y honorroie sor tous hommes|& iou le doi bien faire|quar vous maues de mort rescous	e si vos alla quisieredes yr yo vos honrrare sobre todos los caualleros del mundo pues lo deuo bien façer	e se vo' vi volete venire|i' voi vi farò honorare sopra tutti huomini|;|e io el debbo ben fare|ché voi m avete di morte riscossos	et se uous y uoulles ue nir ie uous y honnoureroye sur tous hõmes|car uous me aues de mort rescoux|orie uoꝰ diray faitle cheuasier coquis
					
				ch egli à promesso a quello altro cavaliere	
310	— Or vos dirai		ca vos me librastes de muerte	Or vo dirò io	
311|312	que vos ferois fet li chevaliers conquis|Vos vendrois huimés herbergier avec nos deus	uous dirai fet li cheualiers conquis|que vous ferois entre vous	mas yo vos dire dixo el Cauallero conquisto venid a aluergar con nosotros dos	che vo' farete|disse el cavaliere conquiso|Voi verete oggimai ad albergare con esso no' due	que uous feres uons deux: uous uoꝰ uendies herbeger auec moy
