,,micha_ii-48.txt,sommer_tome_4-ii-48.txt,lanzarote-ii-48.txt,lancellotto-ii-48.txt,inc-ii-48.txt,fr111-ii-48.txt,fr751-ii-48.txt
101,117|118|119|120,et quant li freres a celui|que vos avés abatu me vit|si me volt a force prendre|kar il m avoit molt longuement amee;,Et quant li freres a celui|qui vous aues abatu me uit|si me volt auoir|et prendre par force|quar il mauoit lonc tamps amee,e quando el señor del castillo hermano de|aquel que vos derribastes me vido quisome prender afuerça|e trabo del freno demi palafren,e quando il fratello di colui|che voi avete ora abatuto mi vide|si mi volle a forza prendere ché m avea lungamente amato,Et quant le frere de celui|que uous auez abatu me uist|si me uoulut auoir|et prendre a force:|car il me auoit longuement aymee,Et quant le frere a celuy quie uous auez ores abatu me uit|si me uoult prendre a force|car il mauoit longuement amee,et quant li freres a celui|que uos aues ore abatu: me uit|Si me uot a force prandre|Car il mauoit moult longuement amee
102,121,si me prist al frain,Si me prist au frain,e quisome llebar,; simmi prese al freno,Il print mon cheual,si me prist au fraing,Si me prist|et me uost mener a force
103,122,et m en volt mener a force mes mes amis se combati a lui tant qu il l ocist,et men volt mener a force|Mais mes anis se combati a lui tant quil locist,e me vido mi amigo llebar conbatiose conel tanto quelo mato,e mi volle menare a forza ma mio amico|si combatté tanto a llui,et men uoulut mener a force:|mais mon amy se combatist a lui tant qu il loccist,et me uoult mener a force|mais mon amy se combaty a luy,si tost comme il me tint au fraing|Mais mes amis se combati a lui
104,,,,,,,,tant que il locit
105,,,,,,,si loccist,
106,,,,,che ll ucise,,,
107,123,Et quant cist,Et quant chils cheualiers,e quando,ME quando questo,Et quant celui,Et quant celuy,et quant ciz
108,124|125,que vos veez ci ore vit son frere mort|si fist mon ami prendre a force de vilains,que vous uees chi vit son frere mort|si fist mon ami prendre par force de vilains,aquel que alli esta vido asu ermano muerto fiço prender ami amigo a fuerça de gente,che voi avete qui ora abatuto vide suo fratello morto|si fece mio amico prendere a forza di villani,que uous uoiez cy uist son frere mort il fist mon amy prendre par force de gens,que uous auez ores cy abatu uit son frere mort|si fist prendre mon amy a force de uilanis,que uos ueez ore ci uit son frere mort :|si fist mon ami prandre a force de uilains
109,126,et de gens,et locist,e de villanos,e di genti,et de uillains,et de gens,et de gent
110,127,et l ocist en venjance de son frere,por uengance de son frere quil auoit ochis,e matolo en enmienda dela muerte desu hermano,e l uccise in vendicanza di suo fratello,et loccist en uengance de son frere,si loccist on uengence de son frere,Et locit en la uangence de son frere
111,128|129,Mais de moi|por cui Ses freres avoit esté ocis dist il qu il se vengeroit sans main metre;,Et dist quil se vengeroit de moi sans main metre,e dixo|que demi se vengaria el seguramente|porque fui ocasion dela muerte de su hermano,Ma di me per cui suo fratello avea stato morto diss elli|che ssi vendicherebbe sanza in me mettere mano,et dist quil se uengeroit de moy sans main mettre,Mais il dist quil se uangeroit de moy pour|qui son frere auoit este occis sans main mectre,mais de moi par cui ses freres auoit este ocis dist il quil sen uangeroit sans main mestre
112,130,si me fist prendre a ces ribaus,et me fist tantost prendre a ches|iiij,entonçe fiço tomar aquellos quatro villanos,si mi fece prendere a nfino a tre l rubaldi,Si me fist prendre par ces quatre ribaulx,si me fist prendre a ces quatre ribaux,Si me fist prandre a ses|iiii
113,,,,,,,,uilains
114,,,ribaus,,,,,
115,131,que vos veistes,que vous ueistes ore,que vos vistes,che vo' vedeste,que uous auez ueu,qui uous ueistes,que uos ueistes
116,132,et lor commanda qu il me noiaissent,et lor commanda quil me noiassent,e mandoles|que me matasen en aquel agua,e loro comandò,et leur commanda quilz me noyassent,et leur commanda quilz me noyassent,si lor coumanda quil me noiassent
117,133,kar par armes dist il ne vueil je mie qu ele muire ;,Car par armes dist il ne voeil iou mie|que elle muire,ca por armas no me queria matar,che m anegassono ché per mano di persona diss elli non voglio,car par armes ne uueil ie pas|que elle meure,Car par armes fist il ne uueil ie pas quelle meure,Car par hommes ne uoeil ge gaie fait il quele morit
118,134|135|136,si m'enmenoient|si com vos veistes morir|quant vos me venistes secorre par la volenté de Dieu,Si me menoient ensi com vous ueistes|por noier|quant vous me uenistes rescorre par la volente de dieu,e ellos me mataran sin falta|si vos porla voluntad de dios|e porla vuestra no me acorrierades agora vos,ch ella muoia|i mmi menavano insi come vo vedeste per fare morire quando vo mi veniste a soccorrere per la volontà di Dio,Si me emmenoient ainsi comment uous auez ueu pour noyer|quant uaus me uenistes secourir par la uoulente de dieu,si me menoient pour mourir ainsi comme uous ueistes|quant uous me uenistes secourir|par la uoulente de dieu,Si ⟦cum⟧ amenerent ainsi com uos ueistes ⟦raqrir⟧|quant uos me ⟦uenistes⟧ secorre par la uolente de dieu
119,137,et par la vostre,et la vostre,e contado todo mi acaesçimiento,e della vostra,et par la uostre,et par la uostre Or uous ay tout comte mon criement,et la uostre
120,,,,,,,,Sire fait la damoisele a behort
121,,,,,Or vo ho contato tutta mia ventura,,,
122,,,vous ai conte mon errement,,,,,
123,138,si voldroie des Ore mes se vostre plaisirs estoit,si volroie se vostre volentes y estoit,como me contesçio|e querria,si vo vorre' da oggimai se vostro piacere fosse pregare,Or uous ay toute compte ma fortune|si uouldroie se uostre uoulente y estoit,si uoudroye desormais|si uostre plaisir estoit,Or uous ai conte mon errement|Si uorroie desormais se uostres ⟦puisses⟧ estoit :
124,139,que vos me menissois a salveté en un mien chastel,que vous me metissies a sauuete|En vn mien castel,que me llebasedes a vn mi castillo,che vo' mi conduceste a salvamento in uno mio castello,que uous me menissez a sauuete en ung mien chasteau,que uous me menez a sauuete en ung mien chastel,que uos me menissiez a sauuete en|i
125,,,,,,,,mien chastel
126,140,qui est ci pres,qui est pres de chi,que es çerca de aqui,ch è qui presso,qui est cy pres,qui est cy pres,qui est ci pres
127,141|142,— Volentiers fet il|Si le prent par les bras,volentiers fait il|et il le prent maintenant par les bras,si vos plaze de GraDo dixo boores,— Volentier|disse elli|Si lla prende per lo braccio,Voulentiers dit il|et il la prent par le bras,uoulentiers fait il|si la prent par les braz,uolentiers damoisele Sire a|si la prent par le bras
128,,,,e luego echo su escudo alas espaldas,,,,
129,143,et le monte par devant lui sor le col de son cheval,et le met sor le col de son cheual,e tomola Porel braço|e pusola antesi Ensu caballo,e la monta davanti a sé sopra il corpo di suo cavallo,et puis la met sur le col de son cheual,et la monte deuant soy sur le col de son cheual,et la mest deuant lui sur le col de son cheual
130,144,si a geté son escu derieres son dos,et met son escu derriere son dos,e fuese|ansi conella,si getta suo scudo di dietro suo dosso,si a iecte son escu derrier son dos:,si a gecte son escu derriere son dos,Si ageste erranment son escu derier son dos
131,145,si s en vet cele part ou la damoisele li enseigne,si sen torne cele part ou la damoisele lenseigne,por do ella lo yria guiando fasta medio dia,si se ne va in quelle parti ove la damigella gli 'nsegna,et puis tourne celle part la ou la damoiselle lui enseigne,et sen uait celle part ou la damoisele luy enseigne,Si sen ua cele part ou la damoisele li ensangne|Si cheuaucherent ainsi
132,146|147|148|149|150|151,tant que ce vint aprés midi qu il voient en un tertre I|bel a chastel|et lors ataignent Il|escuiers|qui issoient d un bossel|et aportoit chescuns venoisons trosee detriers soi,Tant que chou vint apres miedi|que il virent deuant euls vn moult bel castel|Et lors ataingnent|ij|escuiers a lentree dun boskel|et portoit cascuns venison torsee derriere lui,Que vieron vn muy fermoso castillo|e alcançaron dos escuderos ala salida devn monteçillo|que traia cada vno vn corço atroxado trassi,tanto che ciò venne apresso di mezodi|che vegono davanti loro in uno poggio uno castello molto bello|che uscivano d uno boschello|e aportavano amenduni cacciagione torsata di dietro a llui,tant que uint aprez midy|que ilz uirent deuant eulx ung moult beau chasteau:|et lors attaignent deux escuiers a lentree de ung petit boix|et portoit chacun uenoisen derrier lui troussee,tant que ce uient apres medoy quilz uoyent deuant eulx en ung tertre ung meoult bel chastel|et lors actaignent deux escuiers|qui yssoient dung boys|et chascun aportoit uenoison troussee derriere soy,tant que ce uint apres midi|et lors uirent deuant aux en lor chemin|i|tertre|Ou il auoit|i|tres bel chastel|et lors ataignent|ii|escuiers|qui issoient dun boschet|et aportoit chascuns uenison trossee douant soi
133,152|153,Quant il virent la damoisele|si descendent a pié,Et quant il voient la damfolisele|si descendent a pie,e desque vieron la donçella desçendieron apie|e fueron,si discenderono immantanente a ppiè,Et quant ilz uirent la damoiselle ilz descendirent a pie,Et quant ilz uirent la damoisele|si descendirent a pie,et quant il uirent la damoisele|qui behort auoit deuant luy|si sont dessendu a pie
134,,,,,,et lui firent,,
135,,,,,,si grant henneur,,
136,154,et li font grant joie com a celi,et li font|si grant ioie comme a celui,e fezieron gran alegria conella|como aquella,e gli fanno grande gioia come a colei,et si grant ioye comme a celle,et luy font moult grant ioye comme a celle,et li font la plus grant ioie dou monde a cele
137,155,qui lor dame estoit,qui lor dame estoit,que hera su señora,che loro dama era ma molto,qui leur dame estoit:,qui leur dame estoit,qui leur lige dame estoit
138,156,mais molt se merveillent de ce qu il la virent plorer:,mais moult sesmerueillent de ce quil la voient plorer,mas mucho se marauillaron|porque la vian,si maravigliarono di ciò|che lla vidono impiagnendo,mais moult se merueillent de ce qu ilz la uoient plourer:,mais moult se merueillent de ce quilz la uirent plourer,Mais moult se merueillent|quant il la uirent
139,,,,ansi venir,,,,
140,157|158,si li enquierent|que ele a,si li demandent|que elle a,e preguntaronla|que auia,Si lla inchiesono,si demandent|que elle a,si luy enquierent quelle a,si plorer|et plus de son ami|que il ne uerent pas mandent|que ele a
141,159|160|161,Et ele lor dit comment ses amis avoit esté ocis|et je meismes euisse esté morte|se ne fust cis frans chevaliers,Et elle lor conte comment sez amis auoit este ochis|et iou meisme eusse este ochise|se ne fust cils frans cheualiers,e ella les conto|como su amigo hera muerto|e dixo yo mesma fuera muerta sino fuera|por aqueste buen cauallero,ch ell avea ed ella lor disse come suo amico era stato uccisoed io medesima diss ella fosse stata morta se non fosse questo franco cavaliere,et elle leur compte comment son amy auoit este occy|et moy mesmes eusse este occie se ne feust ce franc cheualier,et elle leur comte comme son amy auoit este occis|Et ie mesmes fait elle feusse morte se ne fust ce franc cheualier,et ele lor dit|et conte coment ueuir auecques li|Si li en quierent|et de ses amis auoit este ocis|au chastel ou il trespasoient|Sire meismes fait ele eusse este morte : Ce ne fust ciz frans cheualiers ci
142,162,qui par sa debonaireté me resqueust,qui par Sa debonairete ma rescousse,que me libro,che per sua dibonarità mi riscosse,qui par sa debonnairete ma rescousse,qui par sa debonairete ma rescousse,qui par sa debonairete|et par sa franchisse marescosse des mains a mes anemis
143,163|164,et se mist em peril de mort|por ma vie sauver,et se mist en peril de mort pour moi sauuer,e se metio en peligro de muerte|Por me librar,si si misse in periglio di morte per mia vita salvare,et sest mis en peril de mort pour moy sauuer,et sest mise on peril de mort pour sauuer ma uie,et se mist en peril de mort|por moi sauuer
144,,,,,,,,et se ne lauoie ie pas deserui
145,,,,,,,,et diex doint
146,,,Et lors conseilla elle a,,,,,
147,,,j,,,,,
148,165,Et lors conseille a l un de ses escuierset cil se destrosse maintenant de sa venoison,de ses escuiers|Et cil destorse tout maintenant sa venison,e luego destroçaron el vn corço,si consiglia con l uno|e quelli iscioglie immantanente sua cacciagione,Et lors elle parle a conseil a ung des escuiers|et celui se destrousse maintenant de sa uenoison,Et lors conseille a lun,que ie li puisse guerredoner|Lors conseille maintenant la damoisele a
149,,,,,,,,i
150,,,,,,,,des escuiers
151,,,,,,,,et il destrore maintenant sa uenisson
152,166|167|168,si la baille a son compaignon|por porter|si s en vet vers le chastel quanqu il puet traire del roncin,et le baille a porter a son compaignon|& sen vait vers le castel quanque il pot del ronchi traire,e pusieronlo enel Palafren|e ymbiaronlo al castillo conel vn escudero|e pusieron ala donçella enel otro|e fueronse contrael castillo|quanto podian,e la dona a suo compagnone per portarnela|si se ne va inverso il castello quanto|che può trarre del ronzino,et la baille a porter a son compaignon|et sen ua uers le chasteau tant quil peut courir atout son roussin,et cil baille sa uenoison a porter a son compaiguon|si sen uait uers le chastel tant quil puet traire du roucin,et la baille a lautre|por portee|Si sen ua uers le chastel Quanque il puet de roncin traire
153,169|170,Et Boors demande a la damoisele comment li chastials a non ou ses amis a esté ocis|Sire fet ele il a non Galedon,Et bohors demande a la damoisele comment li castiaus auoit non ou ses amis auoit este ochis|Sire fait elle il a a non Galdon:,e boores pregunto ala donçella|como auia nombre el castillo|Do su amigo auian muerto señor dixo ella el a nombre Galdon,eE Boordo domanda alla damigella come il castello à nome ove suo amico avea stato morto|Sire disse ella egli à nome Badelon,Et boort demande a la damoiselle comment le chasteau auoit nom ou son amy auoit este occy|Sire fait elle il a nen galdon,Et boort demande a la damoisele coment le chasteau a nom ou sen amy auoit este occis Sire fait elle il a nom galedon,et behors demande a la damoisele comment li chastiax auoit non ou ses amis|auoit este ocis|Sire fait ele il a non Galedon
154,171,et l eve par ou vos passastes a non Galede,Et laigue ou vous passastes a a non Galide|?,e el agua|que pasastes galide,e l acqua per dove passaste Galede,et leaue ou uous passastes a nom galide,et leue par ou nous passasmes,et leue par ou uos pasates a non banllete
